prod_pat_id,product_id,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag,submission_date
19794,PRODUCT_209311_005,9283214,2032-03-23 00:00:00,0,1,,0,2018-09-07 00:00:00
19795,PRODUCT_202788_005,10016403,2027-01-25 00:00:00,0,1,,0,2018-08-10 00:00:00
19796,PRODUCT_205636_002,8006690,2021-06-23 00:00:00,0,1,,0,2019-01-09 00:00:00
19797,PRODUCT_022410_004,10285910,2022-10-11 00:00:00,0,1,,0,2019-06-07 00:00:00
19798,PRODUCT_210793_001,9566271,2024-01-15 00:00:00,0,0,,0,2018-07-25 00:00:00
19799,PRODUCT_211225_001,7964592,2027-01-13 00:00:00,1,1,,0,2019-08-02 00:00:00
19800,PRODUCT_208379_003,8829186,2031-01-19 00:00:00,1,1,,0,2017-08-10 00:00:00
19801,PRODUCT_210498_001,9593100,2030-08-27 00:00:00,0,1,,0,2018-07-25 00:00:00
19802,PRODUCT_021536_005,9861757,2026-01-20 00:00:00,0,1,,0,2018-08-29 00:00:00
19803,PRODUCT_202810_002,9855278,2027-04-13 00:00:00,0,1,,0,2018-01-05 00:00:00
19804,PRODUCT_209196_002,9610409,2024-03-02 00:00:00,0,1,,0,2018-03-30 00:00:00
19805,PRODUCT_210861_001,8513263,2029-12-23 00:00:00,1,1,,0,2018-12-20 00:00:00
