id,city,distance,hotelNames,location,rate,reviewNumbers
57," Wall Street - Financial District, New York","3.1 miles from center","Oakwood 6th Avenue"," Wall Street - Financial District, New York", Excellent , 13 reviews
58," Hell's Kitchen, New York","1.2 miles from center","Residence Inn by Marriott New York Manhattan/Times Square"," Hell's Kitchen, New York", Very Good ," 4,292 reviews "
59," Flatiron District, New York","3.1 miles from center","West Side YMCA"," Flatiron District, New York", Good ," 6,711 reviews "
60," Manhattan, New York","4.3 miles from center","The Marcel at Gramercy"," Manhattan, New York", Very Good ," 2,494 reviews "
61," Manhattan, New York","3.1 miles from center","Lotte New York Palace"," Manhattan, New York", Excellent ," 1,248 reviews "
62," Manhattan, New York","1.2 miles from center","Wellington Hotel"," Manhattan, New York", Good ," 5,749 reviews "
63," Upper West Side, New York","3.1 miles from center","Chambers Hotel"," Upper West Side, New York", Excellent , 904 reviews
64," Gramercy, New York","1.8 miles from center","Cambria Hotel New York - Times Square"," Gramercy, New York", Excellent ," 4,148 reviews "
65," Midtown East, New York","3.1 miles from center","The Peninsula New York"," Midtown East, New York", Excellent , 471 reviews
66," Manhattan, New York","0.9 miles from center","Aliz Hotel Times Square"," Manhattan, New York", Very Good ," 2,648 reviews "
67," Manhattan, New York","3.1 miles from center","TownePlace Suites by Marriott New York Manhattan/Times Square"," Manhattan, New York", Excellent , 269 reviews
68," Manhattan, New York","1.4 miles from center","Empire Hotel"," Manhattan, New York", Good ," 3,773 reviews "
69," Manhattan, New York","1,800 feet from center","Blakely New York Hotel"," Manhattan, New York", Very Good ," 2,662 reviews "
70," Hell's Kitchen, New York","3.1 miles from center","Club Quarters Hotel Midtown - Times Square"," Hell's Kitchen, New York", Very Good ," 1,336 reviews "
71," Hell's Kitchen, New York","0.8 miles from center","OYO Times Square"," Hell's Kitchen, New York", Good ," 2,356 reviews "
72," Upper West Side, New York","3.1 miles from center","The Roger"," Upper West Side, New York", Very Good , 862 reviews
73," Manhattan, New York","0.7 miles from center","Nyma, The New York Manhattan Hotel"," Manhattan, New York", Good ," 1,305 reviews "
74," Manhattan, New York","3.1 miles from center","Hotel Belleclaire Central Park"," Manhattan, New York", Good ," 3,487 reviews "
75," Manhattan, New York","1.6 miles from center","World Center Hotel"," Manhattan, New York", Excellent ," 4,324 reviews "
76," Manhattan, New York","3.1 miles from center","Room Mate Grace Boutique Hotel"," Manhattan, New York", Excellent ," 2,062 reviews "
77," Manhattan, New York","1.5 miles from center","Park Lane Hotel - A Central Park Hotel"," Manhattan, New York", Good ," 4,628 reviews "
78," NoMad, New York","3.1 miles from center","Executive Hotel Le Soleil New York"," NoMad, New York", Very Good ," 2,786 reviews "
79," Manhattan, New York","1 miles from center","TRYP by Wyndham Times Square South"," Manhattan, New York", Very Good ," 2,897 reviews "
80," Upper West Side, New York","3.1 miles from center","Hyatt Place New York/Midtown-South"," Upper West Side, New York", Very Good ," 3,855 reviews "
81," Wall Street - Financial District, New York","4.3 miles from center","The Allen Hotel"," Wall Street - Financial District, New York", Very Good ," 1,093 reviews "
82," Manhattan, New York","3.1 miles from center","Millennium Premier New York Times Square"," Manhattan, New York", Very Good , 863 reviews
83," Manhattan, New York","0.8 miles from center","The Knickerbocker"," Manhattan, New York", Excellent ," 1,530 reviews "
84," Manhattan, New York","3.1 miles from center","Citadines Connect Fifth Avenue New York"," Manhattan, New York", Very Good ," 3,236 reviews "
85," Hell's Kitchen, New York","2,150 feet from center","Park South, a Joie de Vivre Hotel"," Hell's Kitchen, New York", Excellent , 828 reviews
86," Manhattan, New York","3.1 miles from center","The Assemblage John Street"," Manhattan, New York", Awesome , 405 reviews
87," Lower East Side, New York","1.2 miles from center","Royalton New York"," Lower East Side, New York", Very Good , 597 reviews
88," Manhattan, New York","3.1 miles from center","The GEM Hotel - Chelsea"," Manhattan, New York", Good ," 1,500 reviews "
89," Manhattan, New York","1.2 miles from center","Moxy NYC Downtown"," Manhattan, New York", Excellent ," 1,009 reviews "
90," Manhattan, New York","3.1 miles from center","Leo House"," Manhattan, New York", Very Good ," 2,620 reviews "
91," NoMad, New York","1.2 miles from center","Sohotel"," NoMad, New York", Very Good ," 1,654 reviews "
0," Chow Kit, Kuala Lumpur","1 miles from center","Smart Boutique Hotel"," Chow Kit, Kuala Lumpur", Review score ," 3,135 reviews "
1," Bukit Bintang, Kuala Lumpur","0.7 miles from center","citizenM Kuala Lumpur Bukit Bintang"," Bukit Bintang, Kuala Lumpur", Exceptional , 528 reviews
2," Bukit Bintang, Kuala Lumpur","2,950 feet from center","WOLO Kuala Lumpur"," Bukit Bintang, Kuala Lumpur", Awesome , 33 reviews
3," Pudu, Kuala Lumpur","3.1 miles from center","Capital O 978 Midaris Hotel"," Pudu, Kuala Lumpur", Good , 324 reviews
4, Kuala Lumpur,"1.6 miles from center","OYO 334 Everest Hotel", Kuala Lumpur, Good , 192 reviews
