walsCode,isoCode,glottocode,Name,genus,family,macroarea,countrycodes
owc,gaz,west2721,Oromo (West-Central),Lowland East Cushitic,Afro-Asiatic,Africa,ET
owi,owi,owin1240,Owininga,Left May,Left May,Papunesia,PG
oya,ori,nucl1284,Oriya,Indic,Indo-European,Eurasia,IN
paa,pqa,paaa1242,Pa'a,West Chadic,Afro-Asiatic,Africa,NG
pac,pac,paco1243,Pacoh,Katuic,Austro-Asiatic,Eurasia,VN
pad,pdo,pado1242,Padoe,Celebic,Austronesian,Papunesia,ID
pae,pbb,paez1247,Páez,Páezan,Páezan,South America,CO
pag,pgu,pagu1249,Pagu,North Halmaheran,West Papuan,Papunesia,ID
pai,pwn,paiw1248,Paiwan,Paiwan,Austronesian,Papunesia,TW
pak,pkn,paka1251,Pakanha,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU
pal,pau,pala1344,Palauan,Palauan,Austronesian,Papunesia,PW
pam,pbs,cent2145,Pame,Pamean,Oto-Manguean,North America,MX
pan,pan,panj1256,Panjabi,Indic,Indo-European,Eurasia,IN PK
pap,pap,papi1253,Papiamentu,Creoles and Pidgins,other,North America,AN
par,lkr,pari1256,Päri,Nilotic,Eastern Sudanic,Africa,SD
pat,ptp,pate1247,Patep,Oceanic,Austronesian,Papunesia,PG
pau,pad,paum1247,Paumarí,Arauan,Arauan,South America,BR
paw,pwa,pawa1255,Pawaian,Pawaian,Teberan-Pawaian,Papunesia,PG
pba,pia,pima1248,Pima Bajo,Tepiman,Uto-Aztecan,North America,MX
pcm,poc,poqo1253,Pocomam,Mayan,Mayan,North America,GT
pdp,ppo,folo1238,Folopa,Teberan,Teberan-Pawaian,Papunesia,PG
pec,pay,pech1241,Pech,Paya,Chibchan,North America,HN
pem,aoc,pemo1248,Pemon,Cariban,Cariban,South America,GY VR
pen,peg,peng1244,Pengo,South-Central Dravidian,Dravidian,Eurasia,IN
per,pip,pero1241,Pero,West Chadic,Afro-Asiatic,Africa,NG
pga,plg,pila1245,Pilagá,South Guaicuruan,Guaicuruan,South America,AR
pgl,pif,ping1243,Pingilapese,Oceanic,Austronesian,Papunesia,FM
phl,pww,pwon1235,Phlong,Karen,Sino-Tibetan,Eurasia,TH
pia,pid,piar1243,Piaroa,Piaroa,Sáliban,South America,VR
pil,piv,pile1238,Pileni,Oceanic,Austronesian,Papunesia,SB
pin,piu,pint1250,Pintupi,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
pip,ppl,pipi1250,Pipil,Aztecan,Uto-Aztecan,North America,SV
pir,pib,yine1238,Piro,Purus,Arawakan,South America,PE
pis,psa,asue1235,Pisa,Awju-Dumut,Trans-New Guinea,Papunesia,ID
pit,pjt,pitj1243,Pitjantjatjara,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
pkm,poh,poco1241,Pokomchí,Mayan,Mayan,North America,GT
pkn,drl,darl1243,Paakantyi,Central Pama-Nyungan,Pama-Nyungan,Australia,AU
pkt,pko,poko1263,Pokot,Nilotic,Eastern Sudanic,Africa,UG KE
pla,gob,play1240,Playero,Guahiban,Guahiban,South America,CO
plb,pox,pola1255,Polabian,Slavic,Indo-European,Eurasia,DE
plg,rbb,nucl1291,Palaung,Palaung-Khmuic,Austro-Asiatic,Eurasia,MM
plh,plh,paul1238,Paulohi,Central Malayo-Polynesian,Austronesian,Papunesia,ID
plk,plu,pali1279,Palikur,Eastern Arawakan,Arawakan,South America,BR
plp,nij,ngaj1237,Pulopetak,Barito,Austronesian,Papunesia,ID
plr,fap,palo1243,Palor,Northern Atlantic,Niger-Congo,Africa,SN
pmc,poo,cent2138,Pomo (Central),Pomoan,Hokan,North America,US
pme,peb,east2545,Pomo (Eastern),Pomoan,Hokan,North America,US
pmn,pej,nort2966,Pomo (Northern),Pomoan,Hokan,North America,US
pms,pma,paam1238,Paamese,Oceanic,Austronesian,Papunesia,VU
pna,pmf,pamo1252,Pamona,Celebic,Austronesian,Papunesia,ID
png,pbr,pang1287,Pangwa,Bantoid,Niger-Congo,Africa,TZ
pnn,pag,pang1290,Pangasinan,Northern Luzon,Austronesian,Papunesia,PH
pno,pao,nort2954,Paiute (Northern),Numic,Uto-Aztecan,North America,US
pnr,pbh,enap1235,Panare,Cariban,Cariban,South America,VR
pnu,buh,youn1235,Bunu (Younuo),Hmong-Mien,Hmong-Mien,Eurasia,CN
pnx,kre,pana1307,Panará,Ge-Kaingang,Macro-Ge,South America,BR
pny,pnw,pany1241,Panyjima,Western Pama-Nyungan,Pama-Nyungan,Australia,AU
poa,fwa,fwai1237,Po-Ai,Oceanic,Austronesian,Papunesia,NC
poc,poa,poqo1257,Pocomam Oriental,Mayan,Mayan,North America,GT
