SUBSYSTEM;SIZE;OPEN_IND;X_OFFSET_FROM_PROP_LINE_M;X_OFFSET_DIRECTION;Y_OFFSET_FROM_PROP_LINE_M;Y_OFFSET_DIRECTION;Geom;Geo Local Area
Distribution;SMALL;OPEN;5.5;W;0.8;N;"{""type"": ""Point"", ""coordinates"": [-123.17020408508482, 49.238617581149335]}";Arbutus-Ridge
Distribution;SMALL;OPEN;75.3;W;5.8;S;"{""type"": ""Point"", ""coordinates"": [-123.08352045196028, 49.28274813645589]}";Strathcona
Distribution;SMALL;OPEN;10.5;E;79.4;N;"{""type"": ""Point"", ""coordinates"": [-123.17286809373302, 49.252375710078915]}";Arbutus-Ridge
Distribution;SMALL;OPEN;15.8;E;8.5;S;"{""type"": ""Point"", ""coordinates"": [-123.09950906589613, 49.27495322032584]}";Strathcona
Distribution;SMALL;OPEN;47.6;W;7.4;S;"{""type"": ""Point"", ""coordinates"": [-123.17665662517601, 49.254735552793775]}";Dunbar-Southlands
Distribution;SMALL;OPEN;0.3;E;4.8;S;"{""type"": ""Point"", ""coordinates"": [-123.17316642672957, 49.238578511037176]}";Dunbar-Southlands
Distribution;SMALL;OPEN;0.0;W;6.8;S;"{""type"": ""Point"", ""coordinates"": [-123.17040526031691, 49.238549838206396]}";Dunbar-Southlands
Distribution;SMALL;OPEN;1.2;E;6.8;S;"{""type"": ""Point"", ""coordinates"": [-123.17011278180371, 49.23854883001681]}";Arbutus-Ridge
Distribution;SMALL;OPEN;0.0;E;6.8;S;"{""type"": ""Point"", ""coordinates"": [-123.16793462717256, 49.23853910867363]}";Arbutus-Ridge
Distribution;SMALL;OPEN;9.1;W;0.6;N;"{""type"": ""Point"", ""coordinates"": [-123.08947134296824, 49.28162308989653]}";Strathcona
Distribution;SMALL;OPEN;0.0;E;7.4;S;"{""type"": ""Point"", ""coordinates"": [-123.17005965695643, 49.24708242450496]}";Arbutus-Ridge
Distribution;SMALL;OPEN;0.0;W;7.4;S;"{""type"": ""Point"", ""coordinates"": [-123.16893596813938, 49.24707813624539]}";Arbutus-Ridge
Distribution;SMALL;OPEN;0.0;E;7.4;S;"{""type"": ""Point"", ""coordinates"": [-123.17552677063992, 49.25194470695037]}";Dunbar-Southlands
Distribution;SMALL;OPEN;6.4;W;4.6;N;"{""type"": ""Point"", ""coordinates"": [-123.1006953823112, 49.266358804217795]}";Mount Pleasant
Distribution;SMALL;OPEN;0.0;W;6.8;N;"{""type"": ""Point"", ""coordinates"": [-123.20636166423532, 49.259215327787516]}";West Point Grey
Distribution;SMALL;OPEN;0.0;W;7.4;S;"{""type"": ""Point"", ""coordinates"": [-123.15989206513765, 49.23937055364152]}";Arbutus-Ridge
Distribution;SMALL;OPEN;3.3;E;7.3;S;"{""type"": ""Point"", ""coordinates"": [-123.18185601565094, 49.23287898007056]}";Dunbar-Southlands
Distribution;SMALL;OPEN;0.0;W;7.3;S;"{""type"": ""Point"", ""coordinates"": [-123.18218400871088, 49.232879641651415]}";Dunbar-Southlands
Distribution;SMALL;OPEN;58.8;E;15.5;N;"{""type"": ""Point"", ""coordinates"": [-123.06345240847415, 49.20878961246351]}";Victoria-Fraserview
Distribution;SMALL;OPEN;7.0;E;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.06205142363333, 49.26312100439323]}";Grandview-Woodland
Distribution;SMALL;OPEN;6.1;E;0.0;N;"{""type"": ""Point"", ""coordinates"": [-123.09576729247422, 49.26550049801764]}";Mount Pleasant
Distribution;SMALL;OPEN;7.3;E;0.0;N;"{""type"": ""Point"", ""coordinates"": [-123.15279958171385, 49.26824103970637]}";Kitsilano
Distribution;SMALL;OPEN;9.1;E;10.1;N;"{""type"": ""Point"", ""coordinates"": [-123.06554787814733, 49.28480151652191]}";Grandview-Woodland
Distribution;SMALL;OPEN;0.0;W;7.3;N;"{""type"": ""Point"", ""coordinates"": [-123.05483611442922, 49.26475409929376]}";Hastings-Sunrise
Distribution;SMALL;OPEN;0.0;W;7.0;S;"{""type"": ""Point"", ""coordinates"": [-123.08360577200312, 49.25694551880137]}";Mount Pleasant
Distribution;SMALL;OPEN;0.0;E;7.0;S;"{""type"": ""Point"", ""coordinates"": [-123.08327975726894, 49.25693216248472]}";Mount Pleasant
Distribution;SMALL;OPEN;0.8;E;2.6;N;"{""type"": ""Point"", ""coordinates"": [-123.13470208532654, 49.24160641597434]}";Shaughnessy
Distribution;SMALL;OPEN;0.0;E;2.6;N;"{""type"": ""Point"", ""coordinates"": [-123.13680360941326, 49.24168529050012]}";Shaughnessy
Distribution;SMALL;OPEN;7.8;W;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.03014743447054, 49.28657446060099]}";Hastings-Sunrise
Distribution;SMALL;OPEN;16.8;W;2.4;S;"{""type"": ""Point"", ""coordinates"": [-123.06792121588276, 49.20774123359637]}";Victoria-Fraserview
Distribution;SMALL;OPEN;0.0;W;2.4;S;"{""type"": ""Point"", ""coordinates"": [-123.06628905403176, 49.207277619948435]}";Victoria-Fraserview
Distribution;SMALL;OPEN;0.0;E;7.3;N;"{""type"": ""Point"", ""coordinates"": [-123.1389836891333, 49.2473860376852]}";Shaughnessy
Distribution;SMALL;OPEN;6.0;E;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.20280719013893, 49.271157563160976]}";West Point Grey
Distribution;SMALL;OPEN;0.0;E;5.4;S;"{""type"": ""Point"", ""coordinates"": [-123.14557085051486, 49.29038231131701]}";
Distribution;SMALL;OPEN;6.9;E;2.4;S;"{""type"": ""Point"", ""coordinates"": [-123.14384551943454, 49.28980677531294]}";West End
Distribution;SMALL;OPEN;6.8;W;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.08335528052399, 49.25776857305556]}";Mount Pleasant
Distribution;SMALL;OPEN;0.6;E;3.7;N;"{""type"": ""Point"", ""coordinates"": [-123.09551646346402, 49.26613033381132]}";Mount Pleasant
Distribution;SMALL;CLOSED;3.8;W;11.9;S;"{""type"": ""Point"", ""coordinates"": [-123.07773686665591, 49.265214243661326]}";Strathcona
Distribution;SMALL;CLOSED;6.9;W;11.9;S;"{""type"": ""Point"", ""coordinates"": [-123.07777947698187, 49.26521463775961]}";Strathcona
Distribution;SMALL;OPEN;86.9;W;7.1;S;"{""type"": ""Point"", ""coordinates"": [-123.1422413927106, 49.28820266474837]}";West End
Distribution;SMALL;OPEN;5.5;W;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.14239546937308, 49.288137655797264]}";West End
Distribution;SMALL;OPEN;5.4;E;8.0;N;"{""type"": ""Point"", ""coordinates"": [-123.11794612970601, 49.28663645035678]}";Downtown
Distribution;SMALL;OPEN;3.4;W;7.4;N;"{""type"": ""Point"", ""coordinates"": [-123.11503301701164, 49.28474505781549]}";Downtown
Distribution;SMALL;OPEN;7.6;E;45.9;S;"{""type"": ""Point"", ""coordinates"": [-123.11493383192816, 49.27362654486568]}";Downtown
