Geom;P_ANNOTATION_LBL_ID
"{""type"": ""LineString"", ""coordinates"": [[-123.14007402791103, 49.26820195613175], [-123.13997285842831, 49.26820207873582]]}";__FJ7M8G
"{""type"": ""LineString"", ""coordinates"": [[-123.02622130061481, 49.24161530723819], [-123.02617801550392, 49.24159867586371]]}";__FJ7M8Q
"{""type"": ""LineString"", ""coordinates"": [[-123.18961212512626, 49.26040157143277], [-123.1895416181203, 49.26040114740855]]}";__FJ7M8T
"{""type"": ""LineString"", ""coordinates"": [[-123.16488650055544, 49.25219747059992], [-123.16477449894707, 49.25219485086637], [-123.16476446443723, 49.25219387570223]]}";__FJ7M8V
"{""type"": ""LineString"", ""coordinates"": [[-123.07255237426823, 49.25833908008805], [-123.07247898587703, 49.25833912614935]]}";__FJ7M90
"{""type"": ""LineString"", ""coordinates"": [[-123.07067520282705, 49.258333919983045], [-123.07061579121749, 49.25833395631031]]}";__FJ7M91
"{""type"": ""LineString"", ""coordinates"": [[-123.09837926360053, 49.28194331953033], [-123.09876014788769, 49.281951899848835]]}";__FJ7M9B
"{""type"": ""LineString"", ""coordinates"": [[-123.09802989534056, 49.28193552078962], [-123.09783684079304, 49.281931195815005]]}";__FJ7M9D
"{""type"": ""LineString"", ""coordinates"": [[-123.04553567712613, 49.26535819182682], [-123.04553182849803, 49.26535819334352], [-123.04516471291707, 49.26536086508184]]}";__FJ7M9L
"{""type"": ""LineString"", ""coordinates"": [[-123.15543502537354, 49.270519058773594], [-123.1552635916797, 49.27051451281509]]}";__FJ7M9O
"{""type"": ""LineString"", ""coordinates"": [[-123.12067383082082, 49.25739510932101], [-123.1204638422348, 49.257390650942746]]}";__FJ7M9S
"{""type"": ""LineString"", ""coordinates"": [[-123.04518938785421, 49.2376782274496], [-123.04514340636399, 49.237720882886535]]}";__FJ7MA0
"{""type"": ""LineString"", ""coordinates"": [[-123.04576602587244, 49.280806681791034], [-123.0457660270378, 49.28080794111539], [-123.04554617183054, 49.28080541938205]]}";__FJ7MA2
"{""type"": ""LineString"", ""coordinates"": [[-123.06508474268209, 49.27948015241795], [-123.06502356109208, 49.279481365231284]]}";__FJ7MA3
"{""type"": ""LineString"", ""coordinates"": [[-123.08917267743216, 49.27717936066231], [-123.08879776115275, 49.2771730199373]]}";__FJ7MA4
"{""type"": ""LineString"", ""coordinates"": [[-123.13279218676583, 49.266453404856314], [-123.13255437835835, 49.266448649604975]]}";__FJ7MAF
"{""type"": ""LineString"", ""coordinates"": [[-123.10092747469591, 49.242627179311846], [-123.10093038613172, 49.24257266562223]]}";__FJ7MAI
"{""type"": ""LineString"", ""coordinates"": [[-123.08187639599367, 49.274880905121684], [-123.08189051837232, 49.27477502175691]]}";__FJ7MAJ
"{""type"": ""LineString"", ""coordinates"": [[-123.07663243252584, 49.28095504479506], [-123.07656671026652, 49.28095508836261]]}";__FJ7MAL
