enzyme,pathway_id
P36959,SMP0000203
P47989,SMP0000203
P30520,SMP0000203
P23109,SMP0000203
P00813,SMP0000203
P00568,SMP0000203
Q8NBU5,SMP0000203
Q08499,SMP0000203
Q96PN6,SMP0000203
P33402,SMP0000203
Q02153,SMP0000203
Q9Y233,SMP0000203
P10599,SMP0000203
P23921,SMP0000203
P31350,SMP0000203
P34896,SMP0000221
P42898,SMP0000221
Q99707,SMP0000221
P32929,SMP0000221
P35520,SMP0000221
Q93088,SMP0000221
P26358,SMP0000221
P17707,SMP0000221
P19623,SMP0000221
Q13126,SMP0000221
P23526,SMP0000221
Q96RQ9,SMP0000221
P56192,SMP0000221
Q96DP5,SMP0000221
P31153,SMP0000221
Q9NZL9,SMP0000221
Q8NE62,SMP0000221
Q8IXL7,SMP0000221
Q9Y3D2,SMP0000221
P21397,SMP0000223
P05091,SMP0000223
O75600,SMP0000223
Q9UI17,SMP0000223
Q9UL12,SMP0000223
P23378,SMP0000223
P48728,SMP0000223
P34897,SMP0000223
P09622,SMP0000223
P21549,SMP0000223
P50440,SMP0000223
Q14353,SMP0000223
P13196,SMP0000223
Q93088,SMP0000223
Q14749,SMP0000223
Q8IVS8,SMP0000223
O43175,SMP0000223
Q9Y617,SMP0000223
P78330,SMP0000223
P20132,SMP0000223
P34896,SMP0000223
Q9GZT4,SMP0000223
P35520,SMP0000223
P32929,SMP0000223
P49591,SMP0000223
P41250,SMP0000223
P21397,SMP0000244
P05091,SMP0000244
O75600,SMP0000244
Q9UI17,SMP0000244
Q9UL12,SMP0000244
P23378,SMP0000244
P48728,SMP0000244
P34897,SMP0000244
P09622,SMP0000244
P21549,SMP0000244
P50440,SMP0000244
Q14353,SMP0000244
P13196,SMP0000244
Q93088,SMP0000244
Q14749,SMP0000244
Q8IVS8,SMP0000244
O43175,SMP0000244
Q9Y617,SMP0000244
P78330,SMP0000244
P20132,SMP0000244
P34896,SMP0000244
Q9GZT4,SMP0000244
P35520,SMP0000244
P32929,SMP0000244
P49591,SMP0000244
P41250,SMP0000244
P00492,SMP0000427
P20839,SMP0000427
P49915,SMP0000427
P51580,SMP0000427
P63000,SMP0000427
Q06278,SMP0000427
Q06203,SMP0000427
Q14542,SMP0000427
Q9HAS3,SMP0000427
Q99808,SMP0000427
O43868,SMP0000427
O15440,SMP0000427
O15439,SMP0000427
P47989,SMP0000427
P55263,SMP0000427
P50583,SMP0000427
O75414,SMP0000427
O75356,SMP0000427
Q5MY95,SMP0000427
Q16774,SMP0000427
P49902,SMP0000427
Q16854,SMP0000427
P07741,SMP0000427
P00491,SMP0000427
Q9Y2T3,SMP0000427
Q9UKK9,SMP0000427
P21108,SMP0000427
P22102,SMP0000427
O15067,SMP0000427
P22234,SMP0000427
P30566,SMP0000427
P31939,SMP0000427
Q9BY32,SMP0000427
P36959,SMP0000427
P30520,SMP0000427
P23109,SMP0000427
P00813,SMP0000427
P00568,SMP0000427
Q8NBU5,SMP0000427
Q08499,SMP0000427
Q96PN6,SMP0000427
P33402,SMP0000427
Q02153,SMP0000427
Q9Y233,SMP0000427
P10599,SMP0000427
P23921,SMP0000427
P31350,SMP0000427
P00492,SMP0000430
P20839,SMP0000430
P49915,SMP0000430
P51580,SMP0000430
P63000,SMP0000430
Q06278,SMP0000430
Q06203,SMP0000430
Q14542,SMP0000430
Q9HAS3,SMP0000430
Q99808,SMP0000430
O43868,SMP0000430
O15440,SMP0000430
O15439,SMP0000430
P47989,SMP0000430
P55263,SMP0000430
P50583,SMP0000430
O75414,SMP0000430
O75356,SMP0000430
Q5MY95,SMP0000430
Q16774,SMP0000430
P49902,SMP0000430
Q16854,SMP0000430
P07741,SMP0000430
P00491,SMP0000430
Q9Y2T3,SMP0000430
Q9UKK9,SMP0000430
P21108,SMP0000430
P22102,SMP0000430
O15067,SMP0000430
P22234,SMP0000430
P30566,SMP0000430
P31939,SMP0000430
Q9BY32,SMP0000430
P36959,SMP0000430
P30520,SMP0000430
P23109,SMP0000430
P00813,SMP0000430
P00568,SMP0000430
Q8NBU5,SMP0000430
Q08499,SMP0000430
Q96PN6,SMP0000430
P33402,SMP0000430
Q02153,SMP0000430
Q9Y233,SMP0000430
P10599,SMP0000430
P23921,SMP0000430
P31350,SMP0000430
P00374,SMP0000432
Q05932,SMP0000432
P11586,SMP0000432
O75891,SMP0000432
O95954,SMP0000432
P49914,SMP0000432
P42898,SMP0000432
Q92820,SMP0000432
Q6UB35,SMP0000432
P13995,SMP0000432
Q96DP5,SMP0000432
Q96NT5,SMP0000432
P50583,SMP0000513
O75414,SMP0000513
O75356,SMP0000513
Q5MY95,SMP0000513
Q16774,SMP0000513
P49902,SMP0000513
Q16854,SMP0000513
P07741,SMP0000513
P00491,SMP0000513
P00492,SMP0000513
Q9Y2T3,SMP0000513
Q9UKK9,SMP0000513
P21108,SMP0000513
Q06203,SMP0000513
P22102,SMP0000513
O15067,SMP0000513
P22234,SMP0000513
P30566,SMP0000513
P31939,SMP0000513
Q9BY32,SMP0000513
P49915,SMP0000513
P20839,SMP0000513
P36959,SMP0000513
P47989,SMP0000513
P30520,SMP0000513
P23109,SMP0000513
P00813,SMP0000513
P00568,SMP0000513
Q8NBU5,SMP0000513
Q08499,SMP0000513
Q96PN6,SMP0000513
P33402,SMP0000513
Q02153,SMP0000513
Q9Y233,SMP0000513
P10599,SMP0000513
P23921,SMP0000513
P31350,SMP0000513
P00374,SMP0000724
P11586,SMP0000724
O75891,SMP0000724
O95954,SMP0000724
P49914,SMP0000724
P42898,SMP0000724
Q05932,SMP0000724
Q92820,SMP0000724
Q6UB35,SMP0000724
P13995,SMP0000724
Q96DP5,SMP0000724
Q96NT5,SMP0000724
P50583,SMP0000050
O75414,SMP0000050
O75356,SMP0000050
Q5MY95,SMP0000050
Q16774,SMP0000050
P49902,SMP0000050
Q16854,SMP0000050
P07741,SMP0000050
P00491,SMP0000050
P00492,SMP0000050
Q9Y2T3,SMP0000050
Q9UKK9,SMP0000050
P21108,SMP0000050
Q06203,SMP0000050
P22102,SMP0000050
O15067,SMP0000050
P22234,SMP0000050
P30566,SMP0000050
P31939,SMP0000050
Q9BY32,SMP0000050
P49915,SMP0000050
P20839,SMP0000050
P36959,SMP0000050
P47989,SMP0000050
P30520,SMP0000050
P23109,SMP0000050
P00813,SMP0000050
P00568,SMP0000050
Q8NBU5,SMP0000050
Q08499,SMP0000050
Q96PN6,SMP0000050
P33402,SMP0000050
Q02153,SMP0000050
Q9Y233,SMP0000050
P10599,SMP0000050
P23921,SMP0000050
P31350,SMP0000050
P49419,SMP0000123
Q93088,SMP0000123
Q99707,SMP0000123
P23526,SMP0000123
Q8NE62,SMP0000123
Q9UBM1,SMP0000123
P31153,SMP0000123
Q9NZL9,SMP0000123
P50583,SMP0000210
O75414,SMP0000210
O75356,SMP0000210
Q5MY95,SMP0000210
Q16774,SMP0000210
P49902,SMP0000210
Q16854,SMP0000210
P07741,SMP0000210
P00491,SMP0000210
P00492,SMP0000210
Q9Y2T3,SMP0000210
Q9UKK9,SMP0000210
P21108,SMP0000210
Q06203,SMP0000210
P22102,SMP0000210
O15067,SMP0000210
P22234,SMP0000210
P30566,SMP0000210
P31939,SMP0000210
Q9BY32,SMP0000210
P49915,SMP0000210
P20839,SMP0000210
P36959,SMP0000210
P47989,SMP0000210
P30520,SMP0000210
P23109,SMP0000210
P00813,SMP0000210
P00568,SMP0000210
Q8NBU5,SMP0000210
Q08499,SMP0000210
Q96PN6,SMP0000210
P33402,SMP0000210
Q02153,SMP0000210
Q9Y233,SMP0000210
P10599,SMP0000210
P23921,SMP0000210
P31350,SMP0000210
P50583,SMP0000364
O75414,SMP0000364
O75356,SMP0000364
Q5MY95,SMP0000364
Q16774,SMP0000364
P49902,SMP0000364
Q16854,SMP0000364
P07741,SMP0000364
P00491,SMP0000364
P00492,SMP0000364
Q9Y2T3,SMP0000364
Q9UKK9,SMP0000364
P21108,SMP0000364
Q06203,SMP0000364
P22102,SMP0000364
O15067,SMP0000364
P22234,SMP0000364
P30566,SMP0000364
P31939,SMP0000364
Q9BY32,SMP0000364
P49915,SMP0000364
P20839,SMP0000364
P36959,SMP0000364
P47989,SMP0000364
P30520,SMP0000364
P23109,SMP0000364
P00813,SMP0000364
P00568,SMP0000364
Q8NBU5,SMP0000364
Q08499,SMP0000364
Q96PN6,SMP0000364
P33402,SMP0000364
Q02153,SMP0000364
Q9Y233,SMP0000364
P10599,SMP0000364
P23921,SMP0000364
P31350,SMP0000364
P50583,SMP0000365
O75414,SMP0000365
O75356,SMP0000365
Q5MY95,SMP0000365
Q16774,SMP0000365
P49902,SMP0000365
Q16854,SMP0000365
P07741,SMP0000365
P00491,SMP0000365
P00492,SMP0000365
Q9Y2T3,SMP0000365
Q9UKK9,SMP0000365
