ahfs_code,drugbank_id
56:04.00,DB01294
56:08.00,DB01294
86:16.00,DB01303
68:20.08,DB01306
68:20.08,DB01307
68:20.08,DB01309
08:18.08.08,DB01319
28:12.12,DB01320
92:01.00*,DB01323
08:12.06.04,DB01327
08:12.07.12,DB01331
12:20.20,DB01337
12:20.20,DB01339
24:32.04,DB01340
40:18.18,DB01344
88:29.00*,DB01345
40:12.00,DB01345
28:28.00,DB01356
36:68.00,DB01362
92:01.00*,DB01363
12:12.00,DB01363
12:12.12,DB01364
92:01.00*,DB01364
12:12.00,DB01364
28:36.32,DB01367
56:04.00,DB01373
88:29.00*,DB01373
40:12.00,DB01373
88:12.00,DB01373
88:29.00*,DB01377
88:29.00*,DB01378
88:28.00,DB01378
68:04.00,DB01380
40:08.00,DB01390
56:04.00,DB01390
40:34.00*,DB01390
92:92.00,DB01392
24:06.06,DB01393
92:16.00,DB01394
12:04.00,DB01400
28:16.08.24,DB01403
92:01.00*,DB01404
68:08.00,DB01406
12:08.08,DB01409
68:04.00,DB01410
52:08.08,DB01410
08:12.06.16,DB01413
08:12.06.12,DB01416
20:12.04.08,DB01418
68:08.00,DB01420
08:30.04,DB01421
24:06.04,DB01432
88:16.00,DB01436
84:08.00,DB01438
28:24.08,DB01558
28:24.92,DB01563
28:20.04,DB01576
56:14.00,DB01586
10:00.00,DB01590
86:12.04,DB01591
20:04.00,DB01592
20:04.04,DB01592
88:29.00*,DB01592
88:29.00*,DB01593
40:12.00,DB01593
28:24.08,DB01595
28:08.04.92,DB01600
08:12.16,DB01605
28:16.08.24,DB01608
64:00.00,DB01609
08:18.32,DB01610
08:30.08,DB01611
28:16.08.24,DB01622
28:16.08.32,DB01623
28:16.08.32,DB01624
56:12.00,DB01638
48:32.00,DB01656
84:04.92,DB01718
84:08.00,DB01744
84:24.04,DB01744
88:08.00,DB01783
84:92.00,DB02300
84:04.92,DB02325
10:00.00,DB02546
88:08.00,DB02701
52:04.04,DB02703
84:04.04,DB02703
08:12.28.92,DB02703
52:40.20,DB03128
88:08.00,DB03247
52:16.00,DB03255
92:00.00,DB03255
28:08.04.92,DB03585
92:92.00,DB03619
40:08.00,DB03754
84:28.00,DB03904
40:28.12,DB03904
52:04.92,DB04209
84:24.12,DB04398
84:04.92,DB04398
10:00.00,DB04572
36:68.00,DB04711
84:04.08.92,DB04815
08:18.08.04,DB04835
48:08.00,DB04837
92:92.00,DB04839
28:32.92,DB04841
04:04.16,DB04841
28:92.00,DB04844
92:16.00,DB04854
24:04.04.20,DB04855
24:24.00,DB04861
10:00.00,DB04868
52:02.00,DB04890
28:92.00,DB04908
08:12.06,DB04918
24:28.08,DB04920
84:04.12,DB04930
20:12.20,DB04932
48:02.00,DB04951
84:92.00,DB05013
92:92.00,DB05018
12:12.08.12,DB05039
10:00.00,DB05109
84:06.00,DB05219
10:00.00,DB05239
84:04.92,DB05245
92:20.00,DB05259
28:36.20.08,DB05271
80:04.00,DB05276
10:00.00,DB05294
20:16.00,DB05332
56:28.36,DB05351
36:36.00,DB05381
36:89.00*,DB05381
92:01.00*,DB05382
88:29.00*,DB05382
84:04.92,DB05382
28:12.92,DB05541
10:00.00,DB05578
92:36.00,DB05676
92:20.00,DB05679
84:92.00,DB05679
10:00.00,DB05773
10:00.00,DB05812
10:00.00,DB05889
56:92.00,DB05990
10:00.00,DB06043
08:12.12,DB06145
92:12.00,DB06151
24:12.92,DB06152
28:32.92,DB06153
92:44.00,DB06168
10:00.00,DB06176
10:00.00,DB06186
92:32.00,DB06196
28:12.92,DB06201
68:20.05,DB06203
28:08.08,DB06204
92:12.00,DB06206
12:16.04.12,DB06207
20:12.18,DB06209
20:16.00,DB06210
40:28.28,DB06212
28:16.08.04,DB06216
24:04.04.20,DB06217
