"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","OF3 (RFA)","47760","57200","Capability Management & Force Generation","78.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00003226","OF5","81310","89408","Project Support Officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1047497","OF5","81310","89408","Finance Resources and Plans","1.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","D","23427","29092","Information Technology","3.00","Information Technology"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058158","Locally Employed Civilian (LEC)","0","0","Other","27.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1596792","D","23427","29092","Geospatial Analyst","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","38095","44268","Sustainable Development","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","OF4","67032","77617","Military","257.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00003226","OR7-8","33223","43252","Project Support Officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1106793","OF5","81310","89408","Finance Resources and Plans","1.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","D","23427","29092","Communication and Media","2.00","Communications"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058158","Locally Employed Civilian (LEC)","0","0","Other","26.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1596792","D","23427","29092","Logistics [Trades]","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","38095","44268","EnvironmentalManagementAssessm","6.45","Operational delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","OF4 (RFA)","67032","77617","Capability Management & Force Generation","61.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","D","23427","29092","Security Advisor","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1055232","OF5","81310","89408","Finance Resources and Plans","1.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058158","OF1","24615","32703","Other","45.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1596792","E1","18370","22124","Logistics [Trades]","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","38095","44268","Performance Management","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00003309","B1","56436","72185","Project Support Officer","5.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","OF5","81310","89408","Military","51.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","D","23427","29092","Safety,Health,Environment&Fire","3.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058158","OF2","37916","45090","Other","133.00","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","1105937","OF5","81310","89408","Capability Management","1.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1596792","E2","15623","18815","Project Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00194069","C1","38095","44268","Programme Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00003309","B2","47942","59535","Project Support Officer","18.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1121797","OF5 (RFA)","81310","89408","Capability Management & Force Generation","39.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","D","23427","29092","Training and Education","3.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058158","OF3","53164","57200","Other","82.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1596792","C2","29258","36333","Technical [Trades]","1.00","Operational delivery"
