Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
Brighouse Nurseries Ltd,"Unit 1A The Nurseries, Halifax Road, Brighouse, HD6 2QD",29296732,"The Nurseries, Halifax Road, Brighouse, HD6 2QD",1150,Workshop And Premises,Qualifying industrial hereditament
Kino & Co,"Unit 5B, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344516,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",5300,Warehouse And Premises,Qualifying industrial hereditament
Commercial First Mortgages Ltd,"5 Union Cross Yard, Halifax, HX1 1PR",69136005,"The Vineries, Broughton Bus Park, Skipton, North Yorkshire, BD23 3AE",17000,Public House and Premises,Empty Relief - Post 01/04/2008
,"Junction Hotel, 192 King Cross Road, Halifax, HX1 3JP",65516715,,11500,Public House and Premises,Empty Relief - Post 01/04/2008
,"Office 14, 11 Owler Ings Road, Brighouse, HD6 1EJ",29452780,,1125,Offices And Premises,Rateable Value below threshold
Selmar Properties Ltd,"Basement At Nightclub, Wards End, Halifax, HX1 1BX",69264753,"Palatine Court, 84 Palatine Road, Withington, Manchester, M20 3JW",620,Store And Premises,Listed Building
Selmar Properties Ltd,"1ST - 3RD Flrs At Nightclub, Wards End, Halifax, HX1 1BX",69264752,"Palatine Court, 84 Palatine Road, Withington, Manchester, M20 3JW",4600,Store And Premises,Listed Building
Bizspace Ltd,"Unit 18F, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628864,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",3250,Offices and Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"""Unauthorised Address"", Unit 11A River Street B Pk, River Street, Brighouse            HD6 1NL",29492742,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2600,Warehouse And Premises,Rateable Value below threshold
Renson Products Uk Ltd (In Administartion 09/09/16),"Unit 7 Brookfoot Business Pk, Elland Road, Brighouse, HD6 2SD",29236798,"Leonard Curtis, Tower 12, 18/22 Bridge Street, Spittalfields, Manchster, M3 3BZ",8000,Warehouse And Premises,Bankrupt / Liquidation / Winding Up Order
Renson Products Uk Ltd (In Administartion 09/09/16),"Unit 2, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",29236754,"Leonard Curtis, Tower 12, 18/22 Bridge Street, Spittalfields, Manchster, M3 3BZ",26250,Workshop And Premises,Bankrupt / Liquidation / Winding Up Order
Renson Products Uk Ltd (In Administartion 09/09/16),"Unit 9, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",29236760,"Leonard Curtis, Tower 12, 18/22 Bridge Street, Spittalfields, Manchster, M3 3BZ",33750,Warehouse And Premises,Bankrupt / Liquidation / Winding Up Order
Courier House Limited,"Ground Floor Store, Below Courier Offices, Bull Close Lane, Halifax              HX1 2SH",64432711,"9 Roberts Road Business Park, Roberts Road, Balby, Doncaster, DN4 0JT",16750,Store And Premises,Empty Relief - Post 01/04/2008
R E Thornber Ltd,"Units 4-5 Hoo Hole Mill, Cragg Road, Mytholmroyd, Hebden Bridge        HX7 5JT",76160830,"Dean Hey Farm, Gragg Road, Mytholmroyd, Hebden Bridge, HX7 5RU",14500,Workshop And Premises,Qualifying industrial hereditament
,"Part Ground Floor, Royds House, Birds Royd Lane, Brighouse           HD6 1LQ",29052722,,2225,Offices and Premises,Rateable Value below threshold
Kino & Co,"Office H M 2.13, Holdsworth Mills, Holdsworth Road, Halifax              HX3 6SN",65344884,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",5200,Office,Empty Relief - Post 01/04/2008
Scottish Equitable Plc Trustee Pension Scheme Ser 0064)),"Adj 158 Ovenden Road, Halifax, HX3 5QG",68156715,"1 Lochside Crescent, Edinburgh, E12 9SE",11250,Warehouse And Premises,Empty Relief - Post 01/04/2008
Commercial Development Projects Ltd,"3 Bridge Road, Brighouse, HD6 1EP",29096003,"Huddersfield Road, Elland, HX5 9BW",6700,Workshop And Premises,Empty Relief - Post 01/04/2008
Pennine Housing 2000 Ltd,"91 Turner Avenue South, Illingworth, Halifax, HX2 8EF",69116091,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",3500,Shop and Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite D106, Dean Clough Office Park, Halifax, HX3 5AX",64788706,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",8000,Offices and Premises,Listed Building
Maramar Holdings Ltd,"The Maltings, Halifax Road, Elland, HX5 0SH",56116725,"The Gatehouse, The Ridings Business Park, Hopwood Lane, Halifax, HX1 3TT",45500,Showroom And Premises,Empty Relief - Post 01/04/2008
Liberty Trustees Ltd,"Bankfield Works, Haley Hill, Halifax, HX3 6ED",65224705,"The Exchange, Bank Street, Bury, Lancs., BL9 0DN",31500,Factory and Premises,Empty Relief - Post 01/04/2008
,"Office 4, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ",64480712,,1425,Office,Empty Property - RV < 15000
,"4 Cow Green, Halifax, HX1 1JF",64700004,,5500,Shop and Premises,Empty Relief - Post 01/04/2008
,"Woodlands View, Bacup Road, Todmorden, OL14 7HW",78024736,,4250,Lecture Hall,Empty Relief - Post 01/04/2008
,"Grange Yard, Mytholmroyd, Hebden Bridge, HX7 5LL",76236701,,1925,Workshop And Premises,Rateable Value below threshold
Adhan Property Consultants Ltd,"Unit 2, Salford Industrial Estate, Salford, Todmorden           OL14 7LF",78408703,"Adhan House, 1st Floor, 52a Preston New Road, Blackburn, BB2 6AH",3400,Workshop And Premises,Qualifying industrial hereditament
Bayford & Co Ltd,"1 Hall Street, Brighouse, HD6 1JY",29302701,"Bowcliffe Hall, Bramham, Wetherby, LS23 6LP",12750,Offices and Premises,Listed Building
Dean Clough Ltd,"Unit L3, L Block, Dean Clough Office Park, Halifax              HX3 5AX",64784867,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",800,Store,Listed Building
,"2/3/4 Deal Street, Halifax, HX1 1QX",64780700,,31750,Showroom And Premises,Listed Building
,"Town Hall Buildings, Elland, HX5 9AJ",56236700,,12750,Gymnasium And Premises,Listed Building
