Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
,"1st Floor, 32 Bell Hall Terrace, Halifax, HX1 3EE",64228700,,880,Store And Premises,Rateable Value below threshold
Dean Clough Ltd,"Unit DY/1, Dean Clough Mills, Halifax, HX3 5AX",64784751,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",5100,Warehouse And Premises,Listed Building
,"Unit U1, Pear Street, Halifax, HX1 3UA",68232706,,2050,Store And Premises,Rateable Value below threshold
,"R/O 18 Corporation Street, Sowerby Bridge, HX6 2QQ",77160701,,680,Workshop And Premises,Rateable Value below threshold
,"Room 5 & 7, At 47 Bethel Street, Brighouse, HD6 1JR",29048730,,2600,Workroom And Premises,Rateable Value below threshold
Calderdale Mbc Land & Property Services,"Carlton Street, Halifax, HX1 2AF",65276700,"Northgate House, Northgate, Halifax, HX1 1UN",3150,Workshop And Premises,Listed Building
E.P.I.C Plc,"Above, 353-359 Skircoat Green Road, Halifax, HX3 0RP",68596700,"Robin Hood Works, Wakefield Road, Brighouse, HD6 1PE",2000,Store And Premises,Rateable Value below threshold
,"Gordon Street, Elland, HX5 0AG",56112700,,1750,Garage And Premises,Rateable Value below threshold
Hutchison 3G Uk Limited,"Spectrasite Transco, Mill Lane, Brighouse, HD6 1PA",29420719,"C/O Gva, Po Box 6079, Wolverhampton, WV1 9RA",7600,Communication Station and Premises,Unoccupied Land
,"29 Church Street, Halifax, HX1 1QY",64780701,,10000,Warehouse And Premises,Listed Building
Dean Clough Ltd,"Office Suite D 07, Dean Clough Mills, Halifax, HX3 5AX",64885703,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",3900,Warehouse And Premises,Listed Building
Calderdale Mbc Community Services,"11 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252775,"C/O Michael Devereux, Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",1800,Shop and Premises,Listed Building
,"1ST & 2ND Floors, 34 Bull Green, Halifax, HX1 5AB",64436808,,2550,Store And Premises,Rateable Value below threshold
Dean Clough Ind Park Ltd,"Unit D Mill Annexe, Dean Clough Industrial Park, Halifax, HX3 5AX",64784833,"Unit OP14-20, Dean Clough Office Park, Halifax, HX3 5AY",1400,Store,Listed Building
Calderdale Mbc,"77 Arcade, Piece Hall, Halifax, HX1 1RE",68252786,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",12750,Shop and Premises,Listed Building
,"West View Garage, Boothtown, Halifax, HX3 6PG",69372701,,4950,Workshop And Premises,Empty Relief - Post 01/04/2008
,"224 Pellon Lane, Halifax, HX1 5RU",68236224,,4100,Shop and Premises,Empty Relief - Post 01/04/2008
Crossley Evans Ltd,"Boston Street, Halifax, HX1 4ND",64024704,"Po Box 23, Shipley, Bradford, BD18 2LY",7400,Workshop And Premises,Empty Relief - Post 01/04/2008
,"Carlton Works, The Boulevard, R/O 24 Savile Park Road, Halifax             HX1 2EN",68472711,,3250,Store And Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc,"7 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252739,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2800,Shop and Premises,Listed Building
,"Unit 8 Carlton Mill, South Street, Halifax, HX1 2EL",68640704,,1575,Warehouse And Premises,Rateable Value below threshold
R A Technology Ltd,"Ground Floor Wing, Wakefield House, 84 Wakefield Road, Brighouse            HD6 1QL",29608761,"F.A.O. Michael Noble, 84 Wakefield Road, Brighouse, HD6 1QL",6300,Offices and Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc,"50/51/52 Arcade, Piece Hall, Halifax, HX1 1RE",68252708,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",9100,Shop and Premises,Listed Building
,"Basement, Empire Buildings, Church Street, Halifax             HX1 1QY",64572705,,2075,Warehouse And Premises,Rateable Value below threshold
Calderdale Mbc Community Services,"Public Conveniences, Rustic, Piece Hall, Halifax              HX1 1RE",68252791,"C/O Michael Devereux, Piece Hall Admin Office, Piece Hall, Halifax, HX1 1RE",3400,Public Conveniences And Premises,Listed Building
Calderdale Mbc Markets Manager,"1ST Flr Market Stall 77-79, Market Hall, Borough Market, Halifax              HX1 1DZ",64288822,"19 Albion Street, Halifax, HX1 1DU",1575,Store And Premises,Listed Building
,"1ST Floor Unit 3, Carlton Mill, South Street, Halifax              HX1 2TE",68640701,,2475,Workshop And Premises,Rateable Value below threshold
Roch Valley Homes Ltd,"Unit 7 Hollins Mill, Hollins Road, Todmorden, OL14 6QF",78224703,"2nd Floor, Hollins Mill, Walsden, Todmorden, OL14 6SA",6000,Workshop And Premises,Listed Building
Global Commercial Investments Ltd,"First Floor Unit H, Craven Edge Enterprise Cntr, Hopwood Lane, Halifax              HX1 5JH",64242747,"Unit 4, Fast Food Business Centre, Pride Buildings, Hall Lane, Bradford, BD4 7AB",4900,Warehouse And Premises,Empty Relief - Post 01/04/2008
Everything Everywhere Ltd,"Telecommunication Mast, Site Ref W Y K 7033, Granny Hall Lane, Brighouse            HD6 2JJ",29276701,"C/O Gva, Po Box 6079, Wolverhampton, WV1 9RA",4300,Communication Station and Premises,Unoccupied Land
Warmco Space Heating Ltd,"Unit 15A, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284725,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1275,Store,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 14C, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284724,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",680,Store,Empty Property - RV < 15000
Calderdale Mbc,"54 Arcade, Piece Hall, Halifax, HX1 1RE",68252769,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2025,Shop and Premises,Listed Building
Calderdale Mbc Community Services,"75 Rustic, Piece Hall, Halifax, HX1 1RE",68252781,"C/O Michael Devereux, Piece Hall Admin Office, Piece Hall, Halifax, HX1 1RE",2150,Shop and Premises,Listed Building
,"45 Hopwood Lane, Halifax, HX1 5ER",65364045,,2325,Shop and Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 106 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212727,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1250,Store And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 5, River Street Business Park, River Street, Brighouse            HD6 1LU",29492733,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1200,Store And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 7C, River Street Business Park, River Street, Brighouse            HD6 1LU",29492736,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1625,Store And Premises,Empty Property - RV < 15000
Calderdale Mbc Land & Property Services,"15 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252754,"Northgate House, Northgate, Halifax, HX1 1UN",2800,Shop and Premises,Listed Building
Homes & Communities Agency,"Crown Works, Hopwood Lane, Halifax, HX1 5HW",65364701,"Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",2375,Workshop And Premises,Empty Property - RV < 15000
Calderdale Mbc Community Services,"42 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252758,"C/O Michael Devereux, Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",2850,Shop and Premises,Listed Building
Fit-Lock Systems Ltd,"Bath Place, R/O11-19 Bramston Street, Brighouse, HD6 3AA",29088707,"Kenann House, 32 Newby Road Industrial Est, Hazel Grove, Stockport, SK7 5DA",2475,Warehouse And Premises,Rateable Value below threshold
,"Scaitcliffe Hall, Burnley Road, Todmorden, OL14 7DQ",78076729,,44000,Hotel And Premises,Listed Building
,"1ST Flr, Mount Pleasant Hse, Midgley Road, Mytholmroyd, Hebden Bridge        HX7 5LR",76372711,,465,Store And Premises,Rateable Value below threshold
,"The Bungalows, Hill Top, Sowerby Bridge, HX6 2RN",77580700,,680,Workshop And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 2 Grd Floor South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212719,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",3000,Warehouse And Premises,Listed Building
Calderdale Mbc Markets Manager,"Balcony Store 20, Borough Market, Halifax, HX1 1DZ",64288791,"19 Albion Street, Halifax, HX1 1DU",485,Store And Premises,Listed Building
,"15 Roils Head Road, Halifax, HX2 0NQ",68396015,,2175,Shop and Premises,Rateable Value below threshold
Mela The Venue Ltd (Company Dissolved 18/08/15),"10 Park Street, Brighouse, HD6 1AD",29460010,"Registered Office, 207 Bradford Road, Stanningley, Pudsey, Leeds, LS28 6QB",23250,Restaurant and Premises,Empty Relief - Post 01/04/2008
,"Suite 3, Nursery Lane Health Care, Nursery Lane, Halifax              HX3 5SW",68104711,,4500,Offices and Premises,Empty Relief - Post 01/04/2008
Richard Coupe Ltd,"Unit 1 Hope Mill, Crescent Street, Todmorden, OL14 5HA",78547704,"Hope Mill Office, Dalton Street, Todmorden, OL14 5HJ",2300,Workshop And Premises,Empty Property - RV < 15000
City Estates (Uk) Ltd,"2ND Floor, District Bank Chambers, George Square, Halifax              HX1 1HF",65140704,"Devonshire Green House, 14 Fitzwilliam Street, Sheffield, S1 4JL",15000,Offices and Premises,Empty Relief - Post 01/04/2008
,"Unit 12 The Ainleys, Huddersfield Road, Elland, HX5 9JP",56132841,,2325,Store And Premises,Empty Property - RV < 15000
Bizspace Ltd,"Unit 7A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628810,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1925,Offices and Premises,Rateable Value below threshold
Blackshaw Holdings Ltd,"Unit 26 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056749,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1975,Offices and Premises,Rateable Value below threshold
Homes & Communities Agency,"8 King Cross Street, Halifax, HX1 2SH",65520715,"Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",2375,Offices and Premises,Listed Building
,"Office 7, 11 Owler Ings Road, Brighouse, HD6 1EJ",29452724,,860,Store,Empty Property - RV < 15000
,"Bay 7 Shay Lane Works, Shay Lane, Halifax, HX3 6SF",68536840,,2325,Workshop And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 208 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212740,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",830,Store And Premises,Listed Building
,"Unit 4, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",29084722,,5200,Warehouse And Premises,Empty Relief - Post 01/04/2008
G Property,"1ST Floor, 96 Commercial Street, Brighouse, HD6 1AQ",29196730,"25 Park Square West, Leeds, LS1 2PW",1250,Offices and Premises,Rateable Value below threshold
Ppc Uk Ltd (In Administration),"First And Second Floors, Unit 1b Dunkirk Mills, Dunkirk Lane, Halifax             HX1 3TA",64852706,"Leonard Curtis, Business Rescue & Recovery, 5 Albion Court, Leeds, LS1 6JL",1975,Warehouse And Premises,Rateable Value below threshold
Gordon Rigg (Nurseries) Ltd,"Car Park, Near Travis House, Rochdale Road, Todmorden           OL14 6LD",78400779,"Calderbank Nurseries, Walsden, Todmorden, OL14 7TG",2000,Car Park,Rateable Value below threshold
Shaw Lodge Mills Ltd,"Level 4 The 1862 Warehouse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526733,"Reedham House, 31 King Street, Manchester, M3 2PJ",3800,Warehouse And Premises,Listed Building
,"8 West End Terrace, Mytholmroyd, Hebden Bridge, HX7 5DW",76580008,,2400,Shop and Premises,Empty Property - RV < 15000
W W Leese [Hx] Ltd,"Unit 1 Lower Brea, Leeds Road, Halifax, HX3 7AQ",65612715,"Lower Brear, Leeds Road, Stump Cross, Halifax, HX3 7AQ",800,Store,Rateable Value below threshold
Warmco Space Heating Ltd,"Units 2-3, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",29124713,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",15250,Factory and Premises,Empty Relief - Post 01/04/2008
Alco Valves Group Ltd,"Northern Timber Merchants, Gooder Lane, Brighouse, HD6 1HF",29272711,"Gooder Lane, Brighouse, HD6 1HB",98500,Workshop And Premises,Empty Relief - Post 01/04/2008
Binns & Sons (Greetland) Ltd,"Brian Royd Mills, Brian Royd Lane, Greetland, Halifax              HX4 8NF",68444731,"The Woodlands, Rochdale Road, Greetland, Halifax, HX4 8PH",455,Workshop And Premises,Rateable Value below threshold
Millcraft Associates,"Unit 2a Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",76256706,"Bridge Mill, St George's Square, Hebden Bridge, HX7 8ET",445,Workshop And Premises,Empty Property - RV < 15000
,"The Grove, Oldham Road, Rishworth, Sowerby Bridge      HX6 4QT",77412705,,11000,Warehouse And Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 18H, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628866,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",5200,Offices and Premises,Empty Relief - Post 01/04/2008
Prudential Assurance Company Ltd,"Unit 9, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",65752717,"M7 Real Estate, C/O 4th Floor, The Crane Building, 22 Lavington Street, London, SE1 0NZ",8400,Warehouse And Premises,Empty Relief - Post 01/04/2008
Ragl Investments Ltd,"Canal Mills, Elland Bridge, Elland, HX5 0SQ",56080708,,24500,Workshop And Premises,Empty Relief - Post 01/04/2008
,"Unit 5, 10A Nanholme Mill, Shaw Wood Road, Todmorden           OL14 6DA",78416715,,1800,Workshop And Premises,Empty Property - RV < 15000
F C F M Group Ltd,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276712,"295 Kings Road, London, SW3 5EP",4050,Shop and Premises,Listed Building
,"4/8 Bridge End, Brighouse, HD6 3DH",29092004,,990,Store And Premises,Empty Property - RV < 15000
,"Unit 7, South Street, Halifax, HX1 2EL",68640712,,4050,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"2 Park Row, Brighouse, HD6 1AB",29456704,,12500,Gymnasium And Premises,Empty Relief - Post 01/04/2008
Commercial First Mortgages Ltd,"5,7 & 9 Water Street, Todmorden, OL14 5AB",78508708,"The Vineries, Broughton Bus Park, Skipton, North Yorkshire, BD23 3AE",9700,Cafe and Premises,Empty Relief - Post 01/04/2008
,"Store 26A, 11 Owler Ings Road, Brighouse, HD6 1EJ",29452770,,1175,Store And Premises,Empty Property - RV < 15000
Makin Dixon Solicitors,"4 Clare Road, Halifax, HX1 2HX",64584004,"The Wool Exchange, 2nd Floor, 10 Hustlergate, Bradford, BD1 1RE",6200,Offices and Premises,Listed Building
City Estates (Uk) Ltd,"1ST Floor, District Bank Chambers, 1-3 George Square, Halifax              HX1 1HF",65140701,"Devonshire Green House, 14 Fitzwilliam Street, Sheffield, S1 4JL",16750,Offices and Premises,Empty Relief - Post 01/04/2008
Due West Ltd,"Over4-10 Albion Street, Halifax, HX1 1DU",64052703,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",6500,Offices and Premises,Empty Relief - Post 01/04/2008
,"53 Crown Street, Halifax, HX1 1JB",64756748,,4700,Shop and Premises,Listed Building
,"The Bull & Dog Inn, South Parade, Stainland, Halifax              HX4 9HW",68636700,,4100,Public House and Premises,Listed Building
,"Unit 2 Riverside Works, Luddendenfoot, Halifax, HX2 6HU",64356702,,6400,"Warehouse, Offices and Premises",Empty Relief - Post 01/04/2008
Epatech Limited,"First Floor, 2 Wards End, Halifax, HX1 1DD",69264746,,6200,Store And Premises,Listed Building
Kino & Co,"Office 3.7 First Floor, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN",65344745,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",2175,Office and Premises,Empty Property - RV < 15000
Bon Bon Milk Bars [Halifax] Ltd,"21/23 Union Street, Halifax, HX1 1PR",69144717,"1 George Street, Halifax, HX1 1HA",12250,Shop and Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite LG39, Dean Clough Industrial Park, Halifax, HX1 1XG",64784746,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",1350,Store,Empty Property - RV < 15000
Dean Clough Ltd,"Office Suite L G 44, Dean Clough Mills, Halifax, HX3 5AX",64784832,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",1700,Office,Empty Property - RV < 15000
Bamford Developments Limited Pension Scheme,"Unit 6 (Remainder), Dispensary Walk, Halifax, HX1 1QR",64824704,"8 St Stephen Street, Manchester, M3 6AY",7300,Offices and Premises,Listed Building
Lockside Estates Ltd,"The Wharf, Gas Works Lane, Elland, HX5 9HH",56104704,"Lockside Mill, St Martins Road, Marple, Stockport,, SK6 7BZ",5100,Mooring And Premises,Unoccupied Land
Maramar Holdings Ltd,"(Unoff Add) Unit J Offices, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",64242783,"The Gatehouse, The Ridings Business Park, Hopwood Lane, Halifax, HX1 3TT",5200,Workshop And Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"""Unauthorised Address"", Unit 11 River Street B/Pk, River Street, Brighouse            HD6 1NL",29492740,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1400,Store And Premises,Rateable Value below threshold
Calderdale Mbc Markets Manager,"21/22 Borough Market, Halifax, HX1 1DY",64288704,"19 Albion Street, Halifax, HX1 1DU",7600,Market Stall And Premises,Listed Building
Bibi Investments Ltd,"Battinson Road Mills, Battinson Road, Halifax, HX1 5PR",64176704,"Beckside Business Park, Beckside Road, Bradford, BD7 2JE",29750,Warehouse And Premises,Empty Relief - Post 01/04/2008
Covea Insurance Plc,"Ferguson Street, Halifax, HX1 2EE",65076701,"F A O Mr Malcolm Nutton, A & B Mills, Dean Clough, Halifax, HX3 5AX",211000,Offices and Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite D176, Dean Clough Office Park, Halifax, HX3 5AX",64788758,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",1950,Office,Empty Property - RV < 15000
,"Unit 1A Victoria Road, Halifax, HX1 5PT",69196734,,19750,Warehouse And Premises,Qualifying industrial hereditament
Calderdale Mbc Markets Manager,"Balcony Store 23, Borough Market, Halifax, HX1 1DZ",64288794,"19 Albion Street, Halifax, HX1 1DU",215,Store And Premises,Listed Building
Circuit Electrical Testing Ltd,"Office B5 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",69360739,"Croft Myl, West Parade, Halifax, HX1 2EQ",3000,Offices and Premises,Empty Relief - Post 01/04/2008
