"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Programme Manager","1.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Senior policy adviser","1.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Executive Assistant","1.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Policy Adviser","2.60","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Programme support officer","1.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Project Manager","4.67","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Project Support Officer","1.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Senior Project Manager","1.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Technical Adviser","1.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Finance Support Officer","1.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Junior Analyst","1.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Knowledge Information Management Support Officer","1.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Operations Support Officer","3.60","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Programme Manager","4.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Project Manager","4.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Project Support Officer","1.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Technical Support Officer","1.00","Property and Asset Management"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","B2/BAND B2","29819","38103","Statistician","1.00","Statisticians"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","C/BAND C","19594","24188","Diary Manager","2.00","Operational delivery"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","C/BAND C","19594","24188","Operations Support Officer","5.00","Operational delivery"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","C/BAND C","19594","24188","Project Support Officer","1.00","Operational delivery"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","C/BAND C","19594","24188","Policy Adviser","2.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","C/BAND C","19594","24188","Policy Support Officer","4.63","Policy"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","C/BAND C","19594","24188","Diary Manager","1.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","C/BAND C","19594","24188","Diary Manager","1.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","C/BAND C","19594","24188","Executive Assistant","0.50","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","C/BAND C","19594","24188","Programme support officer","1.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency and Reform Group","260","C/BAND C","19594","24188","Project Support Officer","2.00","Programme and Project Management (PPM)"
