Body Name,Body,Service Label    ,Service Code,Service Division Label,Service Division Code,Organisational Unit,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,Net Amount, Capital and Revenue,Supplier Name,Supplier_ID
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Resources and Enabling,Premises,1923/10001,Premises Rep.& Maint.-Out.Contractor,10001,12/10/2017,inv0041631,156.00,General Fund,GMC Fire & Security Protection Serv Ltd,17284
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Resources and Enabling,Supplies and Services,1023/34107,Hired Services - General,34107,12/10/2017,inv0041658,-3109.70,General Fund,Greenhalgh Kerr,20032
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Resources and Enabling,Supplies and Services,1023/34107,Hired Services - General,34107,12/10/2017,inv0041658,3109.70,General Fund,Greenhalgh Kerr,20032
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Cultural and Related Services,1A2,Culture and Heritage,1201,Specialist Services,Supplies and Services,1102/37101,Grants General,37101,12/10/2017,inv0041659,1310.00,General Fund,Helmsley Arts Centre,17751
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Resources and Enabling,Supplies and Services,1021/34003,Audit Fee,34003,12/10/2017,inv0041653,957.00,General Fund,KPMG LLP,26988
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Housing Services,1A6,Housing Benefits Admin,1604,Resources and Enabling,Supplies and Services,1631/34003,Audit Fee,34003,12/10/2017,inv0041653,1914.00,General Fund,KPMG LLP,26988
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Corp and Dem,1A7,Corporate Management,1701,Resources and Enabling,Supplies and Services,1701/34003,Audit Fee,34003,12/10/2017,inv0041653,10456.50,General Fund,KPMG LLP,26988
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Customer Service,Employees,2237/09002,External Training Inc.Seminr,09002,12/10/2017,inv0041591,450.00,Control Holding and SU Accnts,Land Data,24289
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Other Holding Accounts,2203,Corporate Management,Transport Related Expenses,2412/21001,Lease Costs,21001,12/10/2017,inv0041699,3325.68,Control Holding and SU Accnts,Lex Autolease Ltd,17322
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Other Holding Accounts,2203,Corporate Management,Transport Related Expenses,2412/21001,Lease Costs,21001,12/10/2017,inv0041698,3748.44,Control Holding and SU Accnts,Lex Autolease Ltd,17322
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Other Holding Accounts,2203,Corporate Management,Transport Related Expenses,2412/21001,Lease Costs,21001,12/10/2017,crn0000614,-520.82,Control Holding and SU Accnts,Lex Autolease Ltd,17322
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Environmental and Reg Services,1A3,Street Cleansing Non Highways,1307,Delivery & Front Line Services,Supplies and Services,1361/30101,Equipment-Hired,30101,12/10/2017,inv0041618,214.28,General Fund,Mennell Motors,17394
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Service Units,2A3,Direct Service Service Unit,2302,Delivery & Front Line Services,Supplies and Services,2858/30102,Equipment-Purchases/Renewals,30102,12/10/2017,inv0041621,550.00,Control Holding and SU Accnts,Mennell Motors,17394
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Housing Services,1A6,Private Sector Housing Renewal,1609,Delivery & Front Line Services,Income,1681/94190,Charges For Services-General,94190,12/10/2017,inv0041660,-75.50,General Fund,Mereside Developments Ltd,22789
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Capital,5A1,Housing Services,5601,Delivery & Front Line Services,Supplies and Services,5677/38028,Misc. - Loans for Housing,38028,12/10/2017,inv0041660,75.50,Capital,Mereside Developments Ltd,22789
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Capital,5A1,Housing Services,5601,Delivery & Front Line Services,Supplies and Services,5677/38028,Misc. - Loans for Housing,38028,12/10/2017,inv0041660,1176.00,Capital,Mereside Developments Ltd,22789
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Service Units,2A3,Direct Service Service Unit,2302,Delivery & Front Line Services,Supplies and Services,2863/30103,Equip-Rep&Maint.Inc Contract,30103,12/10/2017,inv0041570,836.00,Control Holding and SU Accnts,MIS Fuel Monitoring Ltd,17657
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Resources and Enabling,Supplies and Services,2221/30102,Equipment-Purchases/Renewals,30102,12/10/2017,inv0041443,5.00,Control Holding and SU Accnts,MISCO,17397
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Resources and Enabling,Supplies and Services,2221/30102,Equipment-Purchases/Renewals,30102,12/10/2017,inv0041443,45.07,Control Holding and SU Accnts,MISCO,17397
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Resources and Enabling,Supplies and Services,2221/35105,Computer Equipment,35105,12/10/2017,inv0041443,826.60,Control Holding and SU Accnts,MISCO,17397
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Resources and Enabling,Supplies and Services,2221/35105,Computer Equipment,35105,12/10/2017,inv0041386,82.60,Control Holding and SU Accnts,MISCO,17397
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Holding Accounts,2A2,Holding Accounts,2202,Resources and Enabling,Supplies and Services,2221/35105,Computer Equipment,35105,12/10/2017,inv0041443,28.15,Control Holding and SU Accnts,MISCO,17397
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Hosted Partnerships,3A1,Building Control Partnership,3101,Corporate Management,Income,3002/94105,Building Control Notice Fee,94105,12/10/2017,inv0041647,448.00,Partnerships and Agencies,Mr N J Teasdale,32319
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Housing Services,1A6,Other Council Property,1607,Resources and Enabling,Premises,1661/10001,Premises Rep.& Maint.-Out.Contractor,10001,12/10/2017,inv0041624,130.00,General Fund,N. Dean Tree & Garden Services,20312
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Resources and Enabling,Premises,1913/10004,Rechargeable Repairs & Maintenance,10004,12/10/2017,inv0041623,983.34,General Fund,N. Dean Tree & Garden Services,20312
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Land Charges,1105,Customer Service,Supplies and Services,1041/34014,Other Professional Fees,34014,12/10/2017,inv0041717,1666.70,General Fund,North Yorkshire County Council,17406
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Land Charges,1105,Customer Service,Supplies and Services,1041/34014,Other Professional Fees,34014,12/10/2017,inv0041719,2074.80,General Fund,North Yorkshire County Council,17406
