Property Address,RATEPAYER,RV,LIABILITY_START
"Unit 35, Mill House Works, Mill House Lane, Triangle            HX6 3LN",,2375,01/04/2016
"3 Batley Street, Lee Mount, Halifax, HX3 5DG",,2050,01/04/2015
"1st Floor, Burlees House, Hangingroyd Lane, Hebden Bridge       HX7 7DD",,2375,01/07/2016
"44 Southgate, Elland, HX5 0ES",Trustees Of The Doreen Harker Sipp,13250,17/05/2016
"295 Claremount Road, Halifax, HX3 6AW",Claremount Laundry Ltd,3700,20/07/2016
"6 Rochdale Road, Todmorden, OL14 5AA",Sk Excel Ltd,8600,01/05/2016
"Unit 12A Washer Lane Works, Washer Lane, Halifax, HX2 7DX",,1875,01/04/2013
"3 Wesley Court, Halifax, HX1 1UH",The Grayston Unity Ltd,1700,24/05/2016
"13 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",,2450,01/07/2016
"66 Commercial Street, Brighouse, HD6 1AQ",The Laptop Store Brighouse Ltd,10500,10/10/2015
"Unit 12, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",Dennis Ruabon Commercial Ltd,5700,01/04/2015
"Unit 4C, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,3650,01/07/2016
"Unit 4B, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,2600,30/05/2016
"Unit 10, Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse            HD6 4AW",,3500,01/08/2016
"Office Suite E339, Dean Clough Office Park, Halifax, HX3 5AX",Combined Selection Group Ltd,11250,04/12/2015
"Beard Enterprises, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",,8000,01/08/2016
"Level 0 The 1850 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",Shaw Lodge Mills Ltd,13250,30/07/2016
"1st, 2nd & 3rd Floors, 14/16 Old Market, Halifax, HX1 1TN",Scottish Widows Trustee Limited,8200,01/04/2016
"Unit 2, New Oxford House, Albert Street, Hebden Bridge       HX7 8AH",,6700,01/08/2016
"Age Concern, Harley Street, Todmorden, OL14 5JE",Kinect Build Ltd (In Liquidation),6600,01/02/2016
"45 Back Clough, Northowram, Halifax, HX3 7HH",,3200,29/03/2016
"87 Northgate, Halifax, HX1 1XF",,4550,16/06/2015
"4/8 Bridge End, Brighouse, HD6 3DH",,990,29/11/2015
"4/8 Bridge End, Brighouse, HD6 3DH",,3900,29/11/2015
"PH2K, Todmorden Community College, Burnley Road, Todmorden           OL14 7BX",Calderdale Mbc,770,08/07/2016
"New Bond Works, New Bond Street, Halifax, HX1 2NB",,7500,13/07/2016
"Office 4, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ",Community Transport Ltd,1425,01/04/2015
"Unit 7 The Nurseries, Halifax Road, Brighouse, HD6 2QD",Ultimate Secret Ltd,4050,01/04/2016
"Site Office Front A & B Mill, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,5300,01/06/2016
"Globe Works, Victoria Road, Sowerby Bridge, HX6 3AF",V C E P Limited,71000,01/10/2015
"8 Victoria Road, Sowerby Bridge, HX6 3AE",V C E P Limited,1975,01/10/2015
"Unit 32 Mill House Works, Mill House Lane, Triangle, Sowerby Bridge       HX6 3LN",,1575,01/08/2015
"Unit 2 Moderna Business Park, Mytholmroyd, Hebden Bridge, HX7 5QG",Nobilia [G.B] Ltd,15250,01/05/2016
"West Yorkshire Fire Service, Hollins Mill Lane, Sowerby Bridge, HX6 2QG",Sowerby Bridge Fire And Water Ltd,3650,15/06/2016
"Sowerby Bridge Baths, Hollins Mill Lane, Sowerby Bridge, HX6 2QG",Sowerby Bridge Fire And Water Ltd,2000,15/06/2016
"Council Offices, Hollins Mill Lane, Sowerby Bridge, HX6 2QG",Sowerby Bridge Fire And Water Ltd,12250,15/06/2016
"Office Suite D176, Dean Clough Office Park, Halifax, HX3 5AX",Dean Clough Ltd,1650,01/08/2016
"Unit 8, Mill House Works, Mill House Lane, Triangle            HX6 3LN",,1625,07/11/2015
"105 Northgate, Halifax, HX1 1XF",,8600,19/07/2016
"19 King Cross Street, Halifax, HX1 2SH",Amal Solicitors Ltd,5200,01/01/2016
"199 Pellon Lane, Halifax, HX1 5RL",,9000,01/10/2015
"5 Oldham Road, Ripponden, Sowerby Bridge, HX6 4DN",,1700,01/04/2016
"62 Southgate, Elland, HX5 0PS",,3000,27/07/2015
"Unit Hm 1.04, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SW",Kino & Co,1125,01/01/2016
"Market Stall 101-103, Market Hall, Borough Market, Halifax             HX1 1DZ",,3850,18/07/2016
"Pear Tree Inn, Station Road, Norwood Green, Halifax             HX3 8QD",G & G Taverns Ltd,11750,21/07/2016
"7 Crown Street, Hebden Bridge, HX7 8EH",,7300,01/08/2016
"Stubb Playing Fields, Mytholmroyd, Hebden Bridge, HX7 5AP",Stubb Fields Community Association,1275,13/07/2016
"Unit 2, 10A Nanholme Mill, Shaw Wood Road, Todmorden           OL14 6DA",,1900,18/04/2016
"Heaton Street, Brighouse, HD6 1HG",,810,01/04/2016
"Kingfisher House, Portland Place, Halifax, HX1 2JQ",Sharma Investments Ltd,37000,14/05/2014
"The Brass Cat Hotel, 20-22 Cheapside, Halifax, HX1 1TQ",The Northern Counties Pub Co Ltd,20750,26/08/2015
"Unit 2 Station Industrial Pk, Station Road, Luddendenfoot, HX2 6AD",Mak Autohaus Ltd,5000,27/07/2016
"Unit 6 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",Marrtree Investments Limited,7600,01/04/2016
"Office 3, Church View Office Centre, Elland Road, Ripponden            HX6 4DB",,1475,29/03/2016
"Office 3, 11 Owler Ings Road, Brighouse, HD6 1EJ",,2125,03/05/2016
"Office 10 James Street Mills, South Lane, Elland, HX5 0HB",Kellan Group Plc,3300,01/02/2016
"113 Bolton Brow, Sowerby Bridge, HX6 2BD",,2450,22/07/2016
"New Street Hotel, 38 Sutcliffe Street, Pellon, Halifax             HX2 0HG",,2650,23/07/2016
