Body Name,Body,Service Label    ,Service Code,Service Division Label,Service Division Code,Organisational Unit,Expenditure Category,Expenditure Code,CIPFA Detailed Expenditure Type,CIPFA Detailed Expenditure Code,Date,Transaction Number,Net Amount, Capital and Revenue,Supplier Name,Supplier_ID
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Corp and Dem,1A7,Corporate Management,1701,Resources and Enabling,Supplies and Services,1701/34107,Hired Services - General,34107,13/07/2017,inv0040074,9150.00,General Fund,Veritau North Yorkshire Limited,18100
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Corp and Dem,1A7,Corporate Management,1701,Resources and Enabling,Supplies and Services,1701/34107,Hired Services - General,34107,13/07/2017,inv0040074,1830.00,General Fund,Veritau North Yorkshire Limited,18100
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Resources and Enabling,Premises,1914/11003,Energy - Gas (Inc. Mecogas),11003,13/07/2017,inv0040099,50.19,General Fund,British Gas Business,17264
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Resources and Enabling,Premises,1914/11003,Energy - Gas (Inc. Mecogas),11003,13/07/2017,inv0040099,54.93,General Fund,British Gas Business,17264
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Resources and Enabling,Premises,1914/11003,Energy - Gas (Inc. Mecogas),11003,13/07/2017,inv0040099,151.63,General Fund,British Gas Business,17264
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Resources and Enabling,Premises,1914/11003,Energy - Gas (Inc. Mecogas),11003,13/07/2017,inv0040087,54.93,General Fund,British Gas Business,17264
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Resources and Enabling,Premises,1914/11003,Energy - Gas (Inc. Mecogas),11003,13/07/2017,inv0040086,151.63,General Fund,British Gas Business,17264
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Resources and Enabling,Premises,1914/11003,Energy - Gas (Inc. Mecogas),11003,13/07/2017,inv0040084,50.19,General Fund,British Gas Business,17264
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Customer Service,Premises,1914/11002,Energy-Electricy,11002,13/07/2017,inv0040093,386.46,General Fund,npower Ltd,18956
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services  Financing,1C9,Central Services  Financing,1903,Resources and Enabling,Premises,1914/11002,Energy-Electricy,11002,13/07/2017,inv0040092,389.82,General Fund,npower Ltd,18956
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Resources and Enabling,Supplies and Services,1023/34112,Income Processing Charges,34112,13/07/2017,inv0039993,902.37,General Fund,allpay Limited,20775
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Customer Service,Supplies and Services,1021/34107,Hired Services - General,34107,13/07/2017,inv0039986,384.00,General Fund,Meritec Limited,31510
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Customer Service,Supplies and Services,1021/34107,Hired Services - General,34107,13/07/2017,inv0039985,285.64,General Fund,Meritec Limited,31510
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Customer Service,Supplies and Services,1021/34107,Hired Services - General,34107,13/07/2017,inv0039989,200.72,General Fund,Meritec Limited,31510
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Customer Service,Supplies and Services,1023/34110,Security Services,34110,13/07/2017,inv0040080,35.37,General Fund,Security Plus + Limited,21090
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Customer Service,Supplies and Services,1024/34110,Security Services,34110,13/07/2017,inv0040080,11.79,General Fund,Security Plus + Limited,21090
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Central Services to the Public,1A1,Local Tax Collection,1103,Resources and Enabling,Supplies and Services,1021/34107,Hired Services - General,34107,13/07/2017,inv0040074,1464.00,General Fund,Veritau North Yorkshire Limited,18100
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Cultural and Related Services,1A2,Recreation and Sport,1203,Resources and Enabling,Premises,1122/11002,Energy-Electricy,11002,13/07/2017,inv0040089,26.03,General Fund,npower Ltd,18956
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Cultural and Related Services,1A2,Recreation and Sport,1203,Resources and Enabling,Premises,1122/11002,Energy-Electricy,11002,13/07/2017,inv0040091,60.69,General Fund,npower Ltd,18956
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Cultural and Related Services,1A2,Recreation and Sport,1203,Resources and Enabling,Supplies and Services,1123/37310,Grants - RDC Leisure Facilities,37310,13/07/2017,inv0040058,23059.38,General Fund,Sports & Leisure Management Ltd,25097
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Cultural and Related Services,1A2,Recreation and Sport,1203,Resources and Enabling,Supplies and Services,1123/37310,Grants - RDC Leisure Facilities,37310,13/07/2017,inv0040078,30297.00,General Fund,Sports & Leisure Management Ltd,25097
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Current Assets,6A2,Short Term Debtors,6231,Resources and Enabling,Balance Sheet Detail Codes,6206/a9001,Balance Sheet Debit,A9001,13/07/2017,inv0040079,9932.55,Balance Sheet,City of York Council,17280
Ryedale District Council,http://statistics.data.gov.uk/id/local-authority/36UF,Current Liabilities,6A3,Short Term Creditors,6321,Customer Service,Balance Sheet Detail Codes,6510/a9001,Balance Sheet Debit,A9001,13/07/2017,inv0040061,1122.00,Balance Sheet,Computershare Voucher Services Ltd,17849
