PLACE-REF,Additional Rlf,Period Charge,Charge Type,EXEM-AMT,EXEM-CD,SBR-APPLIED,SBR-SUPPLE,SBR-RELIEF-,MAND-CHAR-,MAND-CHARI,DISC-CHARIT,DIS-RLF-AMT,ANALYSIS-CD,RV,SURNAME,Billing Address 1,Billing Address 2,Billing Address 3,Billing Address 4,Billing Address 5,Billing Post Code,Liability Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post,UB-PROP-RV
3933201249,0,861.92,V,885.07,3MTHS,0,23.15,0,,0,0,0,CO,3250,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,04/01/2016,SUITE 34B 10TH FLR REAR,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,OFFICES AND PREMISES
3933201259,0,871.2,O,0,,0,0,0,,0,0,0,CO,1800,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,04/01/2016,SUITE 36 10TH FLR REAR,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,OFFICES AND PREMISES
3933998009,0,143.41,V,147.26,MINRV,0,3.85,0,,0,0,0,CP1,350,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,27/05/2016,CAR SPACE 70,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,CAR PARKING SPACE
3933999759,0,3920.4,O,0,,0,0,0,,0,0,0,IX,8100,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,04/12/2015,RETAIL UNIT GND FLOOR,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,CONTRACTORS STORE & PREMISES
3933999939,0,0,V,0,MINRV,0,0,0,,0,0,0,CO,0,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,01/01/2011,1ST FLOOR FRONT,REGENT HOUSE,HEATON LANE,STOCKPORT,,SK4 1BS,PROPERTY UNDER CONVERSION TO HOTEL
3971003009,0,15367,O,0,,0,412.75,0,,0,0,0,CS,31750,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,27/07/2014,5 HIGH BANK SIDE,STOCKPORT,,,,SK1 1HG,SHOP AND PREMISES
3990237029,0,1839.2,O,0,,0,0,0,,0,0,0,CP,3800,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,01/04/2010,EMERSON CAR PARK,THOMAS STREET,HIGHER HILLGATE,STOCKPORT,,SK1 3QF,CAR PARK
7195019089,0,4617.89,O,0,,0,0,0,,0,0,0,CO,17500,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,03/04/2014,PART 2ND FLOOR,GROSVENOR HOUSE,ST THOMAS'S PLACE,HIGHER HILLGATE,STOCKPORT,SK1 3TZ,OFFICES AND PREMISES
7195019229,0,290.4,O,0,,0,0,0,,0,0,0,CP1,600,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,10/10/2014,CAR SPACES (2),GROSVENOR HOUSE,ST THOMAS'S PLACE,HIGHER HILLGATE,STOCKPORT,SK1 3TZ,CAR PARKING SPACES
7195019289,0,871.2,V,894.6,MINRV,0,23.4,0,,0,0,0,CP1,1800,EMERSON MANAGEMENT SERVICES LIMITED,C/O ORBIT INVESTMENTS (MANCHESTER) LTD,PROPERTY ACCOUNTING DEPARTMENT,EMERSON HOUSE,"HEYES LANE, ALDERLEY EDGE",,SK9 7LF,01/07/2015,CAR SPACES (6) PTS LTD LICENCE,GROSVENOR HOUSE,ST THOMAS'S PLACE,HIGHER HILLGATE,STOCKPORT,SK1 3TZ,CAR PARKING SPACES
